,Hamlet_score,Hamlet_score,Hamlet_score,Hamlet_score,Hamlet_score,Hamlet_score,Venice_score,Venice_score,Venice_score,Venice_score,Venice_score,Venice_score,immersion_attention,immersion_attention,immersion_attention,immersion_attention,immersion_attention,immersion_attention,immersion_time_loss,immersion_time_loss,immersion_time_loss,immersion_time_loss,immersion_time_loss,immersion_time_loss,immersion_presence,immersion_presence,immersion_presence,immersion_presence,immersion_presence,immersion_presence,immersion_emotional,immersion_emotional,immersion_emotional,immersion_emotional,immersion_emotional,immersion_emotional,immersion_enjoyment,immersion_enjoyment,immersion_enjoyment,immersion_enjoyment,immersion_enjoyment,immersion_enjoyment,immersion_total,immersion_total,immersion_total,immersion_total,immersion_total,immersion_total
,mean,std,min,max,median,count,mean,std,min,max,median,count,mean,std,min,max,median,count,mean,std,min,max,median,count,mean,std,min,max,median,count,mean,std,min,max,median,count,mean,std,min,max,median,count,mean,std,min,max,median,count
Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,28.416666666666668,7.1281558667446445,12.0,37.0,27.5,12,26.416666666666668,7.7630632816660405,12.0,39.0,26.5,12,22.416666666666668,5.017393987344668,10,28,24.5,12,24.083333333333332,6.999458853541768,5,33,25.0,12,15.75,6.092096220812369,5,25,17.5,12,15.833333333333334,5.390789001677404,4,22,17.5,12,16.583333333333332,7.452374037035365,4,28,17.5,12,94.66666666666667,27.880698221768643,28,121,101.0,12
B,36.75,3.048844788678909,33.0,42.0,36.5,12,33.333333333333336,6.3293448366008676,19.0,42.0,34.0,12,25.333333333333332,2.015094553763188,21,28,25.5,12,25.166666666666668,6.5758972195757615,12,35,26.5,12,18.916666666666668,6.788470618138766,10,34,19.0,12,22.5,3.9196474795109273,16,28,22.0,12,22.083333333333332,4.962739956796837,11,28,22.5,12,114.0,21.7130040633383,74,151,111.0,12
