,immersion_attention,immersion_attention,immersion_attention,immersion_attention,immersion_attention,immersion_attention,immersion_time_loss,immersion_time_loss,immersion_time_loss,immersion_time_loss,immersion_time_loss,immersion_time_loss,immersion_presence,immersion_presence,immersion_presence,immersion_presence,immersion_presence,immersion_presence,immersion_emotional,immersion_emotional,immersion_emotional,immersion_emotional,immersion_emotional,immersion_emotional,immersion_enjoyment,immersion_enjoyment,immersion_enjoyment,immersion_enjoyment,immersion_enjoyment,immersion_enjoyment,immersion_total,immersion_total,immersion_total,immersion_total,immersion_total,immersion_total
,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count
Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,22.416666666666668,5.017393987344668,24.5,10,28,12,24.083333333333332,6.999458853541768,25.0,5,33,12,15.75,6.092096220812369,17.5,5,25,12,15.833333333333334,5.390789001677404,17.5,4,22,12,16.583333333333332,7.452374037035365,17.5,4,28,12,94.66666666666667,27.880698221768643,101.0,28,121,12
B,25.333333333333332,2.015094553763188,25.5,21,28,12,25.166666666666668,6.5758972195757615,26.5,12,35,12,18.916666666666668,6.788470618138766,19.0,10,34,12,22.5,3.9196474795109273,22.0,16,28,12,22.083333333333332,4.962739956796837,22.5,11,28,12,114.0,21.7130040633383,111.0,74,151,12
